Route,Store,Day,Total_Qty,Range,N_Products,Products
Gävle,Myway Torget,Tuesday,6.0,1~6,6,Baguette/Skagen: 1 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Sandwich/Kyckling Curry: 1 | Wraps/Kyckling Bacon: 1 | Wraps/Kyckling Curry: 1
Gävle,Tempo Brynäs,Tuesday,26.0,20~34,21,Baguette/Ost & Skinka: 1 | Baguette/Salami & Brieost: 1 | Baguette/Skagen: 2 | Fralla/Ost & Skinka: 1 | Fralla/Ost: 1 | Hönökaka/Ost & Salami: 1 | Hönökaka/Ost & Skinka: 1 | Hönökaka/Ost: 1 | Pastasallad/Bacon & Kyckling: 1 | Pastasallad/Kyckling & Salladsost: 2 | Pastasallad/Kyckling mangocurry: 3 | Pastasallad/Ost & Skinka: 1 | Pastasallad/Räkor: 1 | Sandwich/Bacon & Äggröra: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Räkor: 1 | Varmrätt/Teriyakikycklingfile med basmatiris: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 2 | Wraps/Kyckling Curry: 1 | XL Frallor/Ost & Skinka: 1
Gävle,Coop Skutskär,Wednesday,1.0,0~1,1,Fralla/Ost & Skinka: 1
Gävle,Coop Triangeln,Wednesday,2.0,1~2,2,Fralla/Ost & Skinka: 1 | Fralla/Ost: 1
Gävle,Coop Österbybruk,Wednesday,1.0,0~1,1,Pastasallad/Kyckling mangocurry: 1
Gävle,Drottningskiosken,Wednesday,19.0,17~21,10,Baguette/Kyckling Curry: 2 | Baguette/Ost & Skinka: 1 | Baguette/Salami & Brieost: 1 | Baguette/Skagen: 2 | Fralla/Ost & Skinka: 4 | Fralla/Ost: 5 | Sandwich/Bacon & Äggröra: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Kyckling Curry: 1 | Wraps/Kyckling Curry: 1
Gävle,ICA Alunda,Wednesday,3.0,2~3,3,Blandstubbe/Blandstubbe: 1 | Räkstubbe/Räkstubbe: 1 | Stubbe/Ost & Skinkstubbe: 1
Gävle,ICA Spegeln,Wednesday,21.0,19~24,12,Baguette/Salami & Brieost: 1 | Baguette/Skagen: 1 | Fralla/Ost & Skinka: 3 | Fralla/Ost: 3 | Hönökaka/Ost & Salami: 2 | Hönökaka/Ost & Skinka: 3 | Hönökaka/Ost: 2 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | XL Frallor/Grovfralla Kalkon & Färskost: 1 | XL Frallor/Ost & Skinka: 2 | XL Frallor/Ost: 1
Gävle,ICA Stortorget,Wednesday,12.0,8~13,12,Pastasallad/Bacon & Kyckling: 1 | Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Pastasallad/Ost & Skinka: 1 | Pastasallad/Räkor: 1 | Sandwich/Bacon & Äggröra: 1 | Sandwich/Clubsandwich: 1 | Sandwich/Kyckling Curry: 1 | Sandwich/Räkor: 1 | Wraps/Caesar Kyckling: 1 | Wraps/Kyckling Bacon: 1 | Wraps/Kyckling Curry: 1
Gävle,ICA Söder,Wednesday,4.0,2~4,4,Pastasallad/Kyckling & Salladsost: 1 | Pastasallad/Kyckling mangocurry: 1 | Pastasallad/Räkor: 1 | Wraps/Kyckling Bacon: 1
